0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
학벌,열등감,보임,친일파,무시,원사,다음날,공부,중학생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의치,약대,스쿨,적폐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사친,조롱,이대,출신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군무,지랄,안해,여혐,물건,군무,포스터,정치인,이대,피해,의식,딴소리,공포,타령,차별,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학,열등감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이과,문과,인거,상경,자존심,상경,공대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시험,기간,대생,점령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의대,열등감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정신,대학생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지구,싸이코,패스,지도,지연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좌충우돌,대학,생활,미팅,동아리,학회,선배,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년,일자리,고임금,정규직,이기적,조합주의,단체,종도,작자,인식,계신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양질,일자리,안전,자리,청년,노동자,기본권,과제,비교,민주,노총,실천,부족,민주,노총,추진력,부족,방향,잘못,민주,노총,진보적,사회,세력,불안정,청년,앞장,모습,민주,노총,자신,조합,요구,고임금,정규직,이기적,조직,흑색선전,후보,민주,노총,청년,일자리,도움,질문,민주,노총,실천,비정규,공대,연세,사회,노동,운동,단체,나의,,,,,,
일반적,정신,제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운동권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노총,찬성,대표자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여혐,남경,무용론,도착증,환자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노총,단체,성격,중요,과거,노총,안위,귀족,노조,대물림,집중,대학생,청년,일자리,확보,관심,단체,학우,카르텔,이용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금고형,이상,중대,범죄,면허,최대,동안,취소,의료법,개정안,파업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의사,과도,잣대,전문직,호구,면허,취소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총학생회,운동권,노총,이상,총학생회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울대,고대,소나,우등,졸업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
담배,국산,순간,의심,외제,참고,외제,나라,국산,사면,호구,쐐기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수업,오라,교수님,꼰대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공이,수업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여성,이자,페미니스트,범죄,심리,학자,저명,경기대,이수정,교수,여성,혐오,관련,조현,환자,범죄,단언,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부자,부정,부패,가난,부자,부정부패,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기의,소행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퇴원,생년,자기,병원,입원,오빠,병원비,미친년,알바,한번,안해,배달,음식,만원,엄마,동생,투신,흉계,정보,제공,집안,쑥대밭,심해,생년,싸이코,패스,엄마,망상,조현,환자,시간,치가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주위,미친년,한명,참고,시간,치가,도로,화가,아버지,둔감,주체,결국,아버지,원래,엄마,이상,안일,현실,현실,하루,미친년,화가,괴로움,정신병자,미친년,꼬라지,웃음거리,수치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전문직,매몰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
징병,프로,병력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국방,소요,분담,안됨,국방력,공공재,한쪽,프리,라이더,나머지,국민,부담,가중,여자,허약,장애인,환자,군복무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
