,noun
598,최근
599,강자
600,멸시
601,사건
602,약자
603,전장
604,사실
605,말하기
606,강자
607,멸시
608,간지
609,약자
610,멸시
611,좀생이
612,우리나라
613,남녀
614,갈등
615,정신병
616,최근
617,심해
618,세계
619,이정
620,도로
621,남녀
622,갈등
623,나라
624,정신병
625,수준
626,상대방
627,프레이
628,꼬투리
629,도태
630,프레이
631,조력자
632,추천
633,화력
634,만족감
635,여자
636,성관계
637,여자
638,손해
639,글쓴이
640,주먹
641,사람
642,거랑
643,미들
644,화법
645,학습
646,악질
647,소수
648,목소리
649,혐오
650,양쪽
651,성별
652,대표
653,여자
654,감성적
655,교수님
656,가가
657,가가
658,가가
659,가가
660,인공지능
661,설명
662,경상도
663,사투리
664,농담
665,하심
666,자칭
667,인권
668,운동
669,페미니스트
670,계기
671,남자
672,인위적
673,피부
674,흑인
675,스테레오
676,타입
677,이용
678,여자
679,반대
680,인위적
681,백인
682,선호
683,우리나라
684,인종
685,차별적
686,미적
687,기준
688,이용
689,광고
690,인종
691,차별
692,성차별
693,모습
694,한데
695,치료
696,돼지고기
697,고기
698,이젠
699,냄새
700,구역질
701,남자
702,안내면
703,마이너스
704,요소
705,여자
706,기생
707,남성
708,상대
709,여성
710,페미니스트
711,사실
712,부정적
713,여성
714,상대
715,남성
716,페미니스트
717,사실
718,부정적
719,태남
720,도태
721,문구
722,도태
723,남자
724,내면
725,남자
726,코르셋
727,꾸밈
728,노동
729,하지
730,말자
731,여자
732,남초
733,개소리
734,여혐
735,주변
736,여자
737,여자
738,남자
739,여자
740,여자
741,가스
742,라이팅
743,조심
744,초반
745,여자
746,회피
747,나중
748,본인
749,스스로
750,확률
751,인터넷
752,여자
753,여자
754,설거지
755,글쓴이
756,결혼
757,마인드
758,최악
759,결혼
760,사람
761,거지
762,글쓴이
763,결혼
764,사람
765,전라도
766,전라도
767,환경
768,주위
769,환경
770,친척
771,내가
772,지지
773,갱생
774,대상
775,지역
776,감정
777,전라도
778,전라도
779,투표율
780,글쓴이
781,이해
782,안됨
783,이번
784,광주
785,민주당
786,득표율
787,대구
788,이상
789,몰표
