0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
속담,뱁새,송충이,학교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코로나,학교,코로나,세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학교,한번,못가,친구,선배,후배,군대,박해,복학,학번,인맥,개밥,쉰내,복학,수업,과제,독거,노인,,,,,,,,,,,,,,,,,,,,,,,
남자,가해자,세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이상,꼰대,주장,강요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이,사회성,자존심,후보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은근,공감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꼰대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기득권,나라,주범,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
딱이,혐오,표현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학생,천차만별,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학년,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이,새내기,새내기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수님,꼰대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이상,꼰대,문화,이해,노력,기수,영광,누리,선배,실패,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남자,대학생,특유,허세,소개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학생,할머니,담배,셔틀,폭력,조롱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구세대,영화,영화,금단,열매,공룡,치의,허벅지,영화,공식적,제도,기성,질서,종류,환경,영화,시절,가난,무기,전형적,꼰대,잔소리,,,,,,,,,,,,,,,,,,,
배도,얼굴,여고생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어른,마인드,애새끼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
